date,precip,swvl1,swvl2,skt,t2m,transp,evap,lai
2000-01-01,0.0,0.1371292169117352,0.14969924197909645,289.65171032804193,288.3600385496417,-5.837740126899652E-5,-1.4231435937350632E-4,0.9726519239334553
2000-01-02,1.7176186020151363E-6,0.13714503703144312,0.14967211393680585,289.4136882227509,288.01757075814754,-5.5376008348123326E-5,-1.4378703579605084E-4,0.9726519239334553
2000-01-03,4.410743663640915E-7,0.13715146931245137,0.14964697063428412,289.2914170077598,287.8331554924211,-5.5901038938292375E-5,-1.4967346084641383E-4,0.9726519239334553
2000-01-04,1.722592401165457E-6,0.1371525527883568,0.14962201444197754,289.75683720514724,288.37586886244793,-5.5231699269431395E-5,-1.49621517728951E-4,0.9726519239334553
2000-01-05,2.997000876803213E-6,0.1371627008235326,0.14959710625176806,289.6946831288311,288.3322840378599,-5.209711861031816E-5,-1.4343152313460187E-4,0.9726519239334553
2000-01-06,4.351138045421976E-7,0.1371642094608693,0.14957229210648346,289.83191988709405,288.55082649442556,-4.0826182496749746E-5,-1.3914979845055814E-4,0.9726519239334553
2000-01-07,8.70227722771233E-7,0.1371522667350436,0.14954598009984313,290.1202211277144,289.31010007148046,-4.522643483980044E-5,-1.4492504740670577E-4,0.9726519239334553
2000-01-08,1.291964792926592E-6,0.1371330296497316,0.1495208279806097,291.15426995953845,290.1921025076829,-4.128769086028101E-5,-1.4885874301516586E-4,0.9726519239334553
2000-01-09,1.7030355365932337E-6,0.13712712147325262,0.1494945483019123,291.5545719236855,290.80825670180593,-4.019950715988553E-5,-1.3206470097617485E-4,0.9726519239334553
2000-01-10,0.0,0.13711662566778168,0.14946958231325938,292.72139025934547,291.3064123887433,-2.5884388947431776E-5,-1.291275104774716E-4,0.9726519239334553
2000-01-11,0.0,0.13710433321239157,0.1494447691476094,291.9401928902162,291.1058338510114,-3.065502928291521E-5,-1.1929619242257808E-4,0.9726519239334553
2000-01-12,7.646843249990378E-7,0.13710226912221726,0.14942047812721948,291.2035288338056,290.1790976541497,-4.769533510981429E-5,-1.3313133941133878E-4,0.9726519239334553
2000-01-13,3.010033651662525E-6,0.13712613987934913,0.14939549548477776,288.68370447026564,287.08478009106875,-6.939078866287447E-5,-1.4149393450084197E-4,0.9726519239334553
2000-01-14,8.710002248335513E-7,0.13713963434643542,0.14937002890282677,286.34185577651203,284.6657254435065,-1.1850019575359273E-4,-2.059665722385026E-4,0.9726519239334553
2000-01-15,4.351138045421976E-7,0.13712764851668582,0.14934398629571086,285.31133586293805,283.6782064315412,-1.2302142388556148E-4,-2.081787905358754E-4,0.9726519239334553
2000-01-16,8.52346317969932E-7,0.1371358999792098,0.149316009889827,284.8837145054469,283.58459957575394,-1.2571024686924666E-4,-1.9502166503658648E-4,0.9728231640675158
2000-01-17,8.52346317969932E-7,0.13714459913476162,0.14928930700896764,286.53905480007177,284.95324232986053,-8.83005989947929E-5,-1.6740955504228596E-4,0.9730189734382022
