series,MODIS,MODIS_slope,MODIS_lo,MODIS_hi,MODIS_p,MODIS_n,ERA5 skt,ERA5 skt_slope,ERA5 skt_lo,ERA5 skt_hi,ERA5 skt_p,ERA5 skt_n,ERA5 t2m,ERA5 t2m_slope,ERA5 t2m_lo,ERA5 t2m_hi,ERA5 t2m_p,ERA5 t2m_n
Terra daytime,"-1.37 [-1.86, -0.85] p=0.000 (n=21)",-1.3702878360269493,-1.8594853771798079,-0.8498276450538605,0.0003263486811857508,21,"-0.78 [-1.52, -0.27] p=0.009 (n=21)",-0.779895056464657,-1.5205394105708376,-0.2680859711578513,0.008610786795054448,21,"-0.39 [-0.86, +0.11] p=0.124 (n=21)",-0.3917832224993777,-0.8649303187122039,0.10646324472310822,0.12354986589680395,21
Terra nighttime,"+0.23 [-0.08, +0.65] p=0.139 (n=21)",0.23076791070239666,-0.07580746167443102,0.6489503559983247,0.13896689395673345,21,"-0.09 [-0.54, +0.26] p=0.566 (n=21)",-0.0900686940244294,-0.5422780282355243,0.2617921875148472,0.566142727568169,21,"-0.15 [-0.59, +0.32] p=0.608 (n=21)",-0.14554424586494547,-0.5855049468686124,0.3161154871457614,0.6077081401081053,21
Aqua daytime,"-1.40 [-2.14, -0.66] p=0.001 (n=19)",-1.3988919038306902,-2.1428984292776536,-0.6584407998168009,0.0012878545044214817,19,"-0.68 [-1.49, +0.02] p=0.050 (n=19)",-0.6811820501411058,-1.4943279224425867,0.023844955484901932,0.050090305683375025,19,"-0.17 [-0.78, +0.37] p=0.624 (n=19)",-0.16947708052491622,-0.7781514518064188,0.37252291577836777,0.6242768461207495,19
Aqua nighttime,"+0.35 [-0.02, +0.83] p=0.050 (n=19)",0.34718255306334345,-0.02206666666666024,0.8340976995429894,0.050090305683375025,19,"-0.06 [-0.64, +0.57] p=0.834 (n=19)",-0.0596652634508878,-0.6396575812712038,0.5707144587339686,0.8337352412499333,19,"-0.13 [-0.64, +0.56] p=0.889 (n=19)",-0.12774921664174746,-0.6356598191984071,0.5581519113548076,0.8887055908352302,19
