series,n,bias,sd,r
Terra daytime,862,-0.4698174172021507,1.9816935394262618,0.9566853247992211
Terra nighttime,938,-2.120594010817629,1.5655450405260916,0.9742450523918322
Aqua daytime,849,-1.2224313385735501,2.1338507876333597,0.9513926119306692
Aqua nighttime,596,-1.1950988820443287,1.8540000805265238,0.9684791152699684
